Source (A),Source (B),Source (C),Source (D),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
A Sky Full Of Stars,Coldplay," Cause you're a sky Cause you're a sky full of stars I'm gonna give you my heart Cause you're a sky Cause you're a sky full of stars Cause you light up the path  I don't care Go on and tear me apart I don't care if you do, ooh Cause in a sky Cause in a sky full of stars I think I saw you  Cause you're a sky Cause you're a sky full of stars I want to die in your arms, oh Cause you get lighter The more it gets dark I'm gonna give you my heart, oh  And I don't care Go on and tear me apart And I don't care if you do, ooh Cause in a sky Cause in a sky full of stars I think I see you I think I see you  So sky You're a sky full of stars Such heavenly view You're such a heavenly view ",1,156,40.93,79.76,98.40,89.84,156.00,1.92,92.95,51.28,23.08,22.44,10.90,0.00,11.54,0.00,0.00,0.64,8.97,9.62,10.26,1.92,4.49,2.56,23.08,5.13,1.28,0.00,0.00,0.64,3.85,3.85,0.00,0.00,0.00,0.00,12.82,0.00,0.00,0.00,0.00,12.82,1.92,7.69,1.92,1.28,0.00,2.56,4.49,4.49,0.00,0.00,1.92,1.92,0.00,0.00,0.00,1.92,0.00,0.00,0.64,1.28,0.00,0.64,21.15,1.28,20.51,2.56,17.95,0.00,0.00,0.00,0.00,0.00,1.28,0.64,2.56,0.00,1.28,0.00,1.28,0.00,11.54,0.00,2.56,0.00,0.00,0.00,0.00,0.00,0.00,8.97,0.00,0.00
Adventure of a Lifetime,Coldplay,"    Turn your magic on Umi she'd say Everything you want's a dream away And we are legends, every day That's what she told me  Turn your magic on, to me she'd say Everything you want's a dream away Under this pressure, under this weight We are diamonds  Now I feel my heart beating I feel my heart underneath my skin And I feel my heart beating Oh, you make me feel Like I'm alive again Alive again Oh, you make me feel Like I'm alive again  Said I can't go on, not in this way I'm a dream that died by light of day Gonna hold up half the sky and say Only I own me  Now I feel my heart beating I feel my heart underneath my skin Oh, I can feel my heart beating Cause you make me feel Like I'm alive again Alive again Oh, you make me feel Like I'm alive again  Turn your magic on, Umi she'd say Everything you want's a dream away Under this pressure, under this weight We are diamonds taking shape We are diamonds taking shape   If we've only got this life This adventure, oh then I And if we've only got this life You'll get me through And if we've only got this life In this adventure, oh then I Want to share it with you With you, with you Yeah I do       ",1,233,13.33,76.72,97.32,33.16,233.00,7.73,93.99,58.80,31.76,24.46,13.73,3.00,6.01,1.72,0.00,7.30,2.15,12.02,8.15,5.15,4.29,0.86,21.89,2.58,1.72,0.43,0.43,0.43,2.15,1.29,0.86,0.86,0.00,0.00,15.02,0.00,0.00,1.72,0.00,10.73,4.29,2.15,1.72,1.29,1.72,2.15,8.58,0.43,2.15,6.01,8.15,3.43,3.86,0.00,0.86,10.73,3.43,0.00,3.86,3.43,0.00,3.86,17.17,1.72,15.88,2.15,8.58,5.15,0.00,1.72,0.00,0.00,0.00,3.00,3.43,0.00,0.43,0.43,2.58,0.00,12.88,0.00,5.58,0.00,0.00,0.00,0.00,0.00,0.00,7.30,0.00,0.00
Atlas,Coldplay," Some saw the sun Some saw the smoke Some heard the gun Some bent the bow Sometimes the wire must tense for the note Caught in the fire, say oh We're about to explode  Carry your world I�ll carry your world Carry your world I�ll carry your world  Some far away Some search for gold Some dragon to slay Heaven we hope is just up the road Show me the way, Lord Cause I, I'm about to explode  Carry your world I�ll carry your world Carry your world I�ll carry your world  Carry your world, and all your hurt ",1,99,74.89,97.22,98.01,25.77,99.00,3.03,91.92,42.42,19.19,19.19,7.07,2.02,10.10,0.00,0.00,0.00,9.09,10.10,7.07,3.03,1.01,0.00,24.24,1.01,0.00,0.00,0.00,8.08,4.04,2.02,2.02,1.01,0.00,1.01,14.14,0.00,0.00,0.00,0.00,12.12,0.00,1.01,2.02,9.09,2.02,0.00,8.08,4.04,2.02,2.02,1.01,0.00,0.00,0.00,1.01,4.04,2.02,0.00,2.02,0.00,0.00,4.04,14.14,5.05,28.28,10.10,16.16,2.02,0.00,0.00,0.00,0.00,2.02,1.01,1.01,0.00,0.00,0.00,1.01,0.00,10.10,0.00,4.04,0.00,0.00,0.00,0.00,0.00,0.00,6.06,0.00,0.00
Christmas Lights,Coldplay,"Christmas night, another fight Tears we cried a flood Got all kinds of poison in Poison in my blood I took my feet To Oxford Street Trying to right a wrong Just walk away Those windows say But I can't believe she's gone When you're still waiting for the snow to fall Doesn't really feel like Christmas at all Up above candles on air flicker Oh they flicker and they float But I'm up here holding on To all those chandeliers of hope Like some drunken Elvis singing I go singing out of tune Saying how I always loved you darling And I always will Oh when you're still waiting for the snow to fall Doesn't really feel like Christmas at all Still waiting for the snow to fall It doesn't really feel like Christmas at all Those Christmas lights Light up the street Down where the sea and city meet May all your troubles soon be gone Oh Christmas lights keep shining on Those Christmas lights Light up the street Maybe they'll bring her back to me Then all my troubles will be gone Oh Christmas lights keep shining on Oh Christmas lights Light up the street Light up the fireworks in me May all your troubles soon be gone Oh Christmas lights keep shining on",1,217,73.95,51.84,99.00,3.61,217.00,15.21,94.01,49.77,12.90,10.14,5.07,0.46,2.30,0.92,1.38,2.76,4.61,17.05,6.91,7.37,4.15,1.84,19.35,0.92,1.38,1.84,0.00,4.61,5.99,1.84,4.15,0.00,1.38,0.92,7.83,0.00,0.46,0.92,0.00,12.90,1.84,0.46,0.46,2.76,4.61,3.23,10.14,6.45,2.30,1.38,2.76,0.92,0.92,0.00,0.46,8.29,1.38,0.46,3.69,0.92,1.84,3.23,11.06,4.15,29.49,4.61,13.82,11.52,0.00,1.38,0.46,0.00,4.61,0.00,2.76,0.00,0.00,0.00,2.76,0.00,4.61,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,4.15,0.00,0.00
Clocks,Coldplay," The lights go out and I can't be saved Tides that I tried to swim against Have brought me down upon my knees Oh I beg, I beg and plead singing Come out of things unsaid Shoot an apple off my head And a trouble that can't be named A tiger's waiting to be tamed singing  You...are... You...are...  Confusion that never stops Closing walls and ticking clocks Gonna come back and take you home I could not stop that you now know singing Come out upon my seas Cursed missed opportunities Am I a part of the cure? Or am I part of the disease? Singing  You...are... You...are... You...are... You...are... You...are... You...are...  And nothing else compares And nothing else compares And nothing else compares  You...are... You...are...   Home Where I wanted to go  Home Where I wanted to go  Home  Where I wanted to go   Home  Where I wanted to go ",1,160,24.86,35.37,95.60,16.79,12.31,11.88,93.12,59.38,20.00,16.88,9.38,0.00,7.50,0.00,0.00,3.12,4.38,10.62,10.62,4.38,5.62,4.38,26.88,1.88,1.88,2.50,0.00,1.25,1.88,0.62,1.25,0.00,0.00,0.62,7.50,0.00,0.00,0.00,0.00,11.88,0.62,0.00,3.12,1.25,2.50,5.00,3.12,0.62,2.50,0.00,1.88,1.25,0.62,0.00,0.00,6.25,0.00,1.25,2.50,1.25,1.88,5.00,18.12,0.62,19.38,7.50,8.12,4.38,0.00,3.12,3.12,0.00,0.00,0.00,1.25,0.00,0.62,0.00,0.62,0.00,41.25,37.50,0.62,0.00,0.00,1.25,0.00,0.00,0.00,1.88,0.00,0.00
Every Teardrop is a Waterfall,Coldplay," I turn the music up, I got my records on I shut the world outside until the lights come on Maybe the streets alight, maybe the trees are gone I feel my heart start beating to my favourite song And all the kids they dance, all the kids all night Until Monday morning feels another life I turn the music up I'm on a roll this time And heaven is in sight  I turn the music up, I got my records on From underneath the rubble sing a rebel song Don't want to see another generation drop I'd rather be a comma than a full stop Maybe I'm in the black, maybe I'm on my knees Maybe I'm in the gap between the two trapezes But my heart is beating and my pulses start Cathedrals in my heart  As we saw oh this light I swear you, emerge blinking into To tell me it's alright As we soar walls, every siren is a symphony  And every tear's a waterfall Is a waterfall Oh Is a waterfall Oh oh oh Is a is a waterfall Every tear Is a waterfall Oh oh oh  So you can hurt, hurt me bad But still I'll raise the flag  Oh It was a wa wa wa wa wa-aterfall A wa wa wa wa wa-aterfall Every tear Every tear Every teardrop is a waterfall Every tear Every tear Every teardrop is a waterfall",1,240,78.23,25.24,90.16,19.55,240.00,12.08,82.08,49.17,14.58,12.08,10.00,0.83,0.83,0.00,0.42,2.50,12.08,10.42,9.17,3.33,4.58,0.42,15.83,2.08,1.25,0.00,0.42,5.83,2.92,1.25,1.67,0.00,0.42,0.83,3.75,0.00,0.00,0.00,0.00,10.42,1.25,0.00,0.83,2.08,5.00,1.67,6.67,2.50,2.50,1.67,2.08,1.67,0.42,0.00,0.00,5.42,1.25,0.00,2.50,0.83,0.83,2.08,12.92,0.42,16.67,3.33,8.75,4.58,0.00,3.33,0.00,0.00,0.42,0.00,4.17,0.00,0.00,0.42,3.75,0.00,7.92,0.00,3.33,0.00,0.00,0.00,0.00,0.83,0.00,3.75,0.00,0.00
Fix You,Coldplay," When you try your best but you don't succeed When you get what you want but not what you need When you feel so tired but you can't sleep Stuck in reverse  When the tears come streaming down your face When you lose something you can't replace When you love someone but it goes to waste Could it be worse?  Lights will guide you home And ignite your bones And I will try to fix you  And high up above or down below When you're too in love to let it go But if you never try you'll never know Just what you're worth  Lights will guide you home And ignite your bones And I will try to fix you  Tears stream down your face When you lose something you cannot replace Tears stream down your face And I... Tears stream down your face I promise you I will learn from my mistakes Tears stream down your face And I...  Lights will guide you home And ignite your bones And I will try to fix you",1,176,1.36,99.00,77.68,3.73,44.00,5.68,92.61,63.07,27.84,22.73,4.55,0.00,18.18,0.00,0.00,5.11,0.57,9.66,8.52,7.39,14.20,3.98,18.18,2.27,1.14,6.25,0.00,0.00,7.95,2.84,5.11,0.00,0.00,3.98,19.89,0.00,0.00,0.00,0.00,18.18,1.70,1.70,2.84,5.68,1.70,6.25,2.27,1.70,0.00,0.57,6.82,5.11,0.57,0.00,0.00,13.07,1.14,5.11,6.25,1.70,1.70,0.57,13.64,4.55,15.91,2.84,7.39,5.68,1.14,0.00,1.70,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.39,3.41,0.00,0.00,0.00,0.57,0.00,0.00,0.00,3.41,0.00,0.00
Hymn For The Weekend,Coldplay,"  And said drink from me, drink from me  That we shoot across the sky Symphony That we shoot across the sky Pour on a... Drink from me, drink from me  That we shoot across the sky Symphony  That we shoot across the sky  Oh, angel sent from up above You know you make my world light up When I was down, when I was hurt You came to lift me up Life is a drink and love's a drug Oh now I think I must be miles up When I was a river dried up You came to rain a flood  And said drink from me, drink from me When I was so thirsty Pour on a symphony Now I just can't get enough Put your wings on me, wings on me When I was so heavy Soaring on symphony When I'm low, low, low, low  I-Oh-I-Oh Got me feeling drunk and high So high, so high Oh-I-Oh-I-Oh Now I�m feeling drunk and high So high, so high    Oh, angel sent from up above I feel it coursing through my blood Life is a drink and your love's about To make the stars come out  Put your wings on me, wings on me When I was so heavy Soaring on symphony When I'm low, low, low, low  I-Oh-I-Oh Got me feeling drunk and high So high, so high Oh-I-Oh-I-Oh I�m feeling drunk and high So high, so high  I-Oh-I-Oh La, la, la, la, la, la, la So high, so high I-Oh-I-Oh I'm feeling drunk and high So high, so high  That we shoot across the sky That we shoot across the... That we shoot across the sky That we shoot across the... That we shoot across the sky That we shoot across the... That we shoot across the sky That we shoot across the... That we shoot across the sky That we shoot across the...",1,335,34.79,52.39,99.00,2.35,55.83,4.48,88.66,57.31,23.28,18.81,12.54,4.18,2.09,0.00,0.00,4.48,6.57,13.43,4.48,8.36,9.55,0.30,11.04,5.97,0.00,2.39,0.00,0.00,2.69,0.00,2.69,0.00,0.00,2.69,7.46,0.00,0.00,0.00,0.00,3.58,2.39,0.60,0.30,0.00,0.30,0.30,3.88,0.30,0.60,2.99,5.37,0.60,0.90,0.00,4.18,15.22,4.18,0.00,10.15,0.90,0.00,4.18,5.67,0.00,25.67,2.09,20.30,3.28,0.00,5.37,0.00,0.00,0.60,0.00,5.07,0.00,0.00,0.00,5.07,0.00,21.49,5.37,7.76,0.00,0.00,0.00,0.00,5.97,0.00,2.39,0.00,0.00
Magic,Coldplay," Call it magic, call it true I call it magic when I'm with you And I just got broken, broken into two Still I call it magic, when I'm next to you  And I don't, And I don't, And I don't, And I don't No I don't, it's true I don't, No, I don't, No, I don't, No, I don't Want anybody else but you  And I don't, And I don't, And I don't, And I don't No I don't, it's true I don't, No, I don't, No, I don't, No, I don't Want anybody else but you  Call it magic, cut me into two And with all your magic, I disappear from view And I can't get over, can't get over you Still, I call it magic, such a precious jewel  And I don't, And I don't, And I don't, And I don't No I don't, it's true I don't, No, I don't, No, I don't, No, I don't Want anybody else but you  And I don't, And I don't, And I don't, And I don't No I don't, it's true I don't, No, I don't, No, I don't, No, I don't Want anybody else but you  Wanna fall, fall so far I wanna fall, fall so hard And I call it magic And I call it true I call it magic  And if you were to ask me After all that we've been through Still believe in magic? Yes, I do Yes, I do Yes, I do Yes, I do Of course I do",1,256,1.00,1.00,93.47,69.92,128.00,3.12,96.09,76.56,32.42,25.39,21.48,0.39,3.52,0.00,0.00,7.03,0.39,5.08,20.31,3.52,12.11,21.09,23.44,4.69,0.39,0.78,0.78,0.78,3.12,2.73,0.39,0.00,0.00,0.00,9.38,0.00,0.00,0.00,0.00,11.72,0.39,0.00,2.73,1.95,3.12,4.30,1.17,0.78,0.00,0.39,0.00,0.00,0.00,0.00,0.00,2.34,0.39,0.00,0.78,1.17,0.00,1.56,22.66,0.78,6.64,1.56,2.34,2.73,0.39,0.00,0.00,0.00,0.00,0.00,2.34,0.00,0.00,1.56,0.00,0.00,39.06,0.00,21.09,0.00,0.00,0.39,0.00,0.00,0.00,17.58,0.00,0.00
Major Minus,Coldplay," They got one eye watching you One eye on what you do So be careful who it is you're talking to They got one eye watching you One eye on what you do So be careful what it is you're trying to do And be careful if you're walking into view Just be careful if you're walking into view  Ooh ooh ooh, ooh ooh ooh oooh Got one eye on the road and one on you Ooh ooh ooh, ooh ooh ooh oooh Got one eye on the road and one on  They got one eye watching you One eye on what you do So be careful cause nothing they say is true No don't believe a word It's just us against the world And we just got to turn up to be heard Hear the crocodiles ticking round the world Hear the crocodiles ticking, they go ticking round the world  Ooh ooh ooh, ooh ooh ooh oooh Got one eye on the road and one on you Ooh ooh ooh, ooh ooh ooh oooh Got one eye on the road and one on  You could hear them climbing the stairs Got my right side fighting while my left hides under the chairs  Ooh ooh ooh, ooh ooh ooh oooh Got one eye on the road and one on you Ooh ooh ooh, ooh ooh ooh oooh Got one eye on the road and one on",1,236,63.48,94.61,27.28,25.77,236.00,8.90,81.78,44.07,13.56,10.17,0.85,0.85,5.93,0.00,2.54,3.39,5.93,10.17,8.47,2.54,5.93,1.27,25.00,1.27,0.00,2.12,7.63,0.00,0.85,0.42,0.42,0.00,0.42,0.00,12.71,0.00,0.00,0.00,0.00,3.81,0.42,0.42,1.27,1.27,0.85,1.27,10.17,8.05,2.12,0.85,5.08,5.08,0.00,0.00,0.00,9.75,0.85,0.85,0.85,4.66,2.54,5.51,11.02,0.00,16.10,2.12,13.56,0.42,0.00,0.00,0.00,0.00,0.00,0.00,2.54,0.00,2.54,0.00,0.00,0.00,5.51,0.00,2.97,0.00,0.00,0.00,0.00,0.00,0.00,2.54,0.00,0.00
Midnight,Coldplay," In the darkness before the dawn In the swirling of the storm When I'm rolling with the punches and hope is gone Leave a light, a light on  Millions of miles from home In the swirling swimming on When I'm rolling with the thunder But bleed from thorns Leave a light, a light on Leave a light, a light on Leave a light, a light on Leave a light, a light on  In the darkness before the dawn In the darkness before the dawn Leave a light, a light on Leave a light, a light on",1,96,99.00,37.72,98.01,44.87,96.00,11.46,91.67,56.25,2.08,2.08,2.08,0.00,0.00,0.00,0.00,0.00,26.04,22.92,3.12,2.08,4.17,0.00,12.50,3.12,3.12,2.08,1.04,0.00,1.04,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.08,0.00,0.00,1.04,1.04,0.00,1.04,18.75,17.71,1.04,0.00,1.04,1.04,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.04,11.46,1.04,31.25,11.46,14.58,5.21,0.00,1.04,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.38,0.00,7.29,0.00,0.00,0.00,0.00,0.00,0.00,2.08,0.00,0.00
Moving To Mars,Coldplay," Somewhere up above the stars The wreckage of a universe floats past Somewhere up above my heart A tiny little seed is sown, a government is overthrown Who knows when we'll be coming home at last  And I heard it on the radio that one day we'll be living in the stars And I heard it on a TV show that somewhere up above and in my heart They'll be tearing us apart, maybe moving us to Mars We won't see the earth again And the seconds just remain unchanged  8 to 9, 9 to 10 We are meeting for the first time We might never meet again, you and me We are meeting for the first time can't you see 7 6 5 4 3 We are meeting for the first time Singing this space symphony  They'll be tearing us apart, maybe moving us to Mars Past the satellites and stars, they're moving us to Mars",1,157,50.34,95.71,95.53,25.77,157.00,10.83,84.08,57.32,19.11,13.38,3.18,7.64,1.27,0.00,1.27,3.82,8.92,12.74,10.19,6.37,4.46,1.91,17.83,0.64,0.00,1.27,8.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.29,0.00,0.00,0.00,0.00,7.01,0.64,0.00,0.00,3.82,0.64,1.91,4.46,1.91,2.55,0.00,1.91,1.27,0.64,0.00,0.00,15.29,8.28,1.91,5.10,0.00,0.00,2.55,9.55,4.46,25.48,2.55,13.38,9.55,2.55,2.55,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.28,0.00,3.82,0.00,0.00,0.00,0.00,0.00,0.00,4.46,0.00,0.00
Princess of China,Coldplay," Once upon a time somebody ran Somebody ran away saying fast as I can I've got to go, I've got to go!!! Once upon a time we fell apart You're holding in your hands the two halves Of my heart Ohhhhh, ohhhhh! Ohhhhh...  Once upon a time, we burned bright Now all we ever seem to do is fight On and on... And on and on and on... Once upon a time on the same side Once upon a time on the same side, in the Same game And why'd you have to go, have to go and Throw water on my flame  I could've been a princess, you'd be a king Could've had a castle, and worn a ring But no, you let me go I could've been a princess, you'd be a king Could've had a castle, and worn a ring But no, you let me go  And stole my star La, la, la, la, la, la, la, la La, la, la, la, la, la, la, la La, la, la, la, la, la, la, la You stole my star La, la la la la laaaaaa Oooooooh-oh oh oooooooh oh oh oh Ohhhhhhhhh Oooooooh-oh oh oooooooh oh oh oh Ohhhhhhhhh  'Cause you really hurt me No you really hurt me 'Cause you really hurt me No you really hurt me 'Cause you really hurt me Ooooooooh you really hurt me, ooooooooh 'Cause you really hurt me Ooooooooh you really hurt me...",1,244,51.19,70.30,88.73,1.13,40.67,7.79,84.84,50.41,16.39,15.57,7.79,1.23,6.56,0.00,0.00,0.82,6.97,9.43,9.02,4.51,4.92,1.64,15.98,2.46,1.64,0.41,2.46,0.41,4.10,0.41,3.69,0.00,0.41,3.28,11.48,0.00,0.00,0.82,0.82,10.25,0.41,2.05,1.64,1.23,0.82,4.51,5.74,0.41,1.23,4.10,1.23,0.82,0.00,0.00,0.41,4.10,1.64,0.00,0.82,1.64,0.00,6.97,7.79,0.00,17.21,4.51,7.79,5.33,0.00,0.41,0.00,0.00,0.00,0.00,9.02,0.00,2.87,0.00,6.15,0.00,27.05,4.92,13.93,0.00,0.00,0.00,1.64,0.82,0.00,5.74,0.00,0.00
Speed of Sound,Coldplay," How long before I get in? Before it starts, before I begin? How long before you decide? Before I know what it feels like? Where to, where do I go? If you never try, then you'll never know How long do I have to climb Up on the side of this mountain of mine?  Look up, I look up at night Planets are moving at the speed of light Climb up, up in the trees Every chance that you get Is a chance you seize How long am I gonna stand With my head stuck under the sand? I'll start before I can stop Before I see things the right way up  All that noise, and all that sound All those places I got found And birds go flying at the speed of sound To show you how it all began Birds came flying from the underground If you could see it then you'd understand  Ideas that you'll never find All the inventors could never design The buildings that you put up Japan and China all lit up The sign that I couldn't read Or a light that I couldn't see Some things you have to believe But others are puzzles, puzzling me  All that noise, and all that sound All those places I got found And birds go flying at the speed of sound To show you how it all began Birds came flying from the underground If you could see it then you'd understand Ah when you see it then you'll understand  All those signs, I knew what they meant Some things you can invent Some get made, and some get sent  Birds go flying at the speed of sound To show you how it all began Birds came flying from the underground If you could see it then you'd understand Ah, when you see it then you'll understand",1,311,31.29,68.51,99.00,25.77,38.88,5.47,93.25,56.59,22.51,13.18,5.79,0.00,7.07,0.00,0.32,9.32,5.14,13.18,7.72,4.82,8.68,1.93,23.47,2.25,2.57,4.18,0.00,5.47,0.00,0.00,0.00,0.00,0.00,0.00,7.72,0.00,0.00,0.00,0.00,20.26,5.14,2.57,3.22,4.50,5.47,2.25,7.72,4.82,2.25,0.64,0.32,0.32,0.00,0.00,0.00,6.43,0.00,0.96,2.89,2.25,0.32,5.14,13.50,3.86,25.40,6.11,9.32,9.97,0.32,0.00,0.00,0.00,0.00,0.00,0.96,0.00,0.32,0.64,0.64,0.00,9.00,0.00,3.54,0.00,0.00,2.25,0.00,0.00,0.00,3.22,0.00,0.00
Violet Hill,Coldplay," It was a long and dark December From the rooftops I remember There was snow, white snow Clearly I remember From the windows they were watching While we froze down below When the future's architecture By a carnival of idiots on show You'd better lie low If you love me, won't you let me know?  Was a long and dark December When the banks became cathedrals And a fox became God Priests clutched onto bibles Hollowed out to fit their rifles And the cross was held aloft Bury me in armor When I'm dead and hit the ground My nerves are poles that unfroze And if you love me, won't you let me know?  I don't want to be a soldier Who the captain of some sinking ship Would stow, far below So if you love me, why d'you let me go?  I took my love down to Violet Hill There we sat in snow All that time she was silent still So if you love me, won't you let me know? If you love me, won't you let me know?",1,182,16.63,64.99,85.97,76.53,36.40,10.44,88.46,59.34,20.88,18.68,9.89,1.10,6.04,0.55,1.10,2.20,6.59,9.34,11.54,5.49,9.34,2.75,20.33,2.20,0.55,2.75,0.00,1.10,4.95,3.85,1.10,0.00,0.55,0.55,12.64,0.00,0.00,0.55,0.00,10.44,4.40,0.55,3.85,3.30,1.10,2.75,4.40,3.30,0.55,0.55,3.85,0.55,0.00,0.00,0.00,10.44,4.40,0.55,4.95,1.10,0.00,7.14,5.49,2.75,14.84,1.10,8.24,5.49,0.55,0.00,0.55,0.55,1.65,1.10,0.55,0.55,0.00,0.00,0.00,0.00,11.54,0.00,3.85,0.00,0.00,2.75,0.00,0.00,0.00,4.95,0.00,0.00
